gene_id	gene_name	SRR8521732	SRR8521733	SRR8521735	SRR8521737	SRR8521738	SRR8521656	SRR8521658	SRR8521673	SRR8521679	SRR8521683	SRR8521692	SRR8521696	SRR8521702	SRR8521723	SRR8521662	SRR8521675	SRR8521677	SRR8521694	SRR8521698	SRR8521700	SRR8521706	SRR8521666	SRR8521668	SRR8521670
ENSG00000283695		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283696		0.3	0.1	0.52	0.56	0.74	0.63	0.41	0.96	0.07	1.68	0.08	0.19	0.76	1.04	0.57	0.68	0.75	0.32	0.78	0.23	1.62	2.69	2.08	2.93
ENSG00000283697	HSFX3	0	0.1	0.01	0.29	0	0	0	0	0.86	0	0	0	0	0	0.11	0	0	0	0.17	0	0	0	0	0.09
ENSG00000283698	VINAC1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283699	MIR4481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33	0	0	0
ENSG00000283701	MIR555	0.46	0	0	3.13	0	0	0	0	0	0	0	2.68	0	1.37	0	0	0	0	0	0	7.19	1.04	0.76	2.37
ENSG00000283703	VSIG10L2	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283704		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283705	MIR92A1	0	0.43	0	1.05	0	0	0	0.97	0	0	0	0	0	0.5	0	0	0	0	0	0	0.76	0	5.09	4.68
ENSG00000283706	PRSS50	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0.02	0.1	0.01	0	0	0	0.03	0	0	0
ENSG00000283709	FAM238C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283710	MIR1204	0	0	0	0	0	1.57	1.18	0	0	0	0	3.56	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283712	MIR6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283717	MIR6831	0	0	0	2.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283721	MIR6884	0	0	0	0	0	0.16	0	0	0	0	0	0.67	0	0	0	0	0	0	0.29	0	0	0	0	0
ENSG00000283724	MIR6732	0	0	0	0	0	0	1.19	0	0	0	0.42	5.89	0	0	0	0	0	0	0	0	0	0	2.29	0
ENSG00000283726	MIR5193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283728	MIR7108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283733	MIR146A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283734	MIR4785	0.25	0.43	1.65	2.45	0	0	0	3.76	2.86	14.24	0	7.7	3.51	1.93	1.87	4.18	1.49	0	0	3.8	0	0	0	1.38
ENSG00000283736	MIR484	0	4.66	0	0	2.67	8.34	0.74	0	0.95	0	1.2	0	0	0	0	0	5.28	9.15	0.21	1.29	0.38	0	0	0
ENSG00000283737		0.85	0.36	0.47	3.05	2.24	0.6	0.66	0.17	0.38	0.6	1.41	0.69	0.87	1.28	0.62	0.52	1.02	0.06	0.64	0.45	1.89	0.5	0.77	0.82
ENSG00000283740	TAF11L11	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0
ENSG00000283743		0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0
ENSG00000283744	MIR6755	0	0	0.58	1.87	0	0	0.91	0.71	0	0	0	1.13	0.76	0.96	0	0	0.51	0	1.43	2.15	0	0	0	0
ENSG00000283745	MIR196B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59	0
ENSG00000283749	MIR4781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283751	MIR452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283752		0	0.48	0	0	0.27	0.1	0.36	0.06	0.22	0	0	0	0.04	0.03	0	0	0	0.06	0.12	0.21	0	0	0	0.37
ENSG00000283755	CPHXL	0.01	0	0	0.06	0.06	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0.34	0	0
ENSG00000283757		0	0	0.04	0.43	0.69	0	0	0	0	0	0	0	0	0.06	0	0.01	0.24	0	0	0	0	0	0	0.14
ENSG00000283758	PMIS2	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283759	MIR614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283761		0.91	1.87	0.77	1.21	0.61	3.83	0.15	0.32	0.8	0.67	3.57	1.17	0.67	1.08	0.45	0.9	1.29	0.12	1.95	1.28	0.45	1.46	1.27	1.56
ENSG00000283762	MIR20A	0	0	0	0	0	0.7	0	0	0	0.34	0	0	0	0	0	0	0	0	0	0	0	0	2.69	0
ENSG00000283764	MIR6850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283765		0	0.3	0	0	0	0.16	1.3	0	0	0.06	0	0.22	0	0.84	0.02	0.04	0	0	0	0.24	0.92	0.2	0.02	0.75
ENSG00000283766		0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283768	MIR1178	0	0	0	0	0	0	0	0	0	0	0	0	0.57	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283769		0	0	0.01	0.05	0	0	0.01	0.03	0	0.01	0.01	0	0.09	0.05	0.01	0.06	0.01	0.02	0.06	0	0	0.01	0.09	0.17
ENSG00000283770	MIR6849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13	0	0	0	0	0	0	0	0	0
ENSG00000283772	MIR6778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283773		15.63	7.53	12.63	7.92	18.07	7.76	39.23	20.05	13.45	32.96	22.58	7.57	8.88	11.51	14.13	6.87	13.54	7.86	22.94	13.95	21.71	11.05	13.91	1.66
ENSG00000283774	MIR632	0.84	0.46	0.15	0.93	1	2.06	2.23	0.63	3.71	0	0	1.39	0	1.44	0	0	0.75	1.04	1.84	0	0	0	0	0
ENSG00000283775	MIR4329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283776	TAF11L13	0	0	0.02	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0
ENSG00000283782		0.58	0.66	1.14	2	1.62	0.06	0.33	1.36	0.97	0.05	0.05	1.47	0.4	0.57	0.95	0.15	0	0	0.64	1.33	0.7	1.15	1.21	2.08
ENSG00000283783	MIR622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283785	MIR15A	0	0	0.69	0	0	0	1.57	0	1.99	0	0	0	0	0.57	0	0	0	0	4.24	0	0	0	0	0
ENSG00000283787	PRR33	0.05	0	0.02	0.13	0.04	0.03	0.03	0.03	0.02	0.12	0.1	0	0.03	0.22	0.01	0.28	0	0.01	0.05	0	0.12	0.01	0.04	0.1
ENSG00000283788	MIR936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283789	MIR7846	0	0	0.5	0	0	0.78	0.23	0	2.26	0	0.54	0	0	0	0	0.43	0	0	0	0.39	0.43	0	0	0
ENSG00000283791	MIR612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283792	MIR4453	2.53	0	0	0.87	0	0.02	0.35	0	0	0	0	0	0	1.48	0.28	0	1.81	0	0	0.26	0	1.69	0	0
ENSG00000283793	MIR6861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.22	0
ENSG00000283795	MIR4426	0	0	0	159.95	0	101.29	4.47	0	166.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283796	MIR6510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283797	MIR29B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05	1.17	0	0
ENSG00000283798	MIR630	0.68	0.27	0.34	0	0	0	2.15	0	0.52	0	0	0	0	0	0	1.33	0	5.97	0	0	0	0	0.09	0
ENSG00000283799	MIR1182	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283801	MIR1302-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283803	MIR3198-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283805	MIR636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283809		0	0	0	0	0	0.02	0	0	0.12	0	0	0	0	0	0	0	0.57	0	0.21	0	0	0	0	0
ENSG00000283813	MIR4485	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283815	MIR18A	0	0	0	0	0.5	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283818	MIR7844	0	0	0	0	0	0	0	0	0	0.01	0	0.81	0	0	0	0	0	0	0.19	0	0	1.95	0	0
